,muc_id,location,date,text
10,DEV-MUC3-0011,LIMA,1990-01-09,"Authorities have reported that former Peruvian defense Minister general Enrique Lopez Albujar died today in Lima as a consequence of a terrorist attack . Lopez Albujar, former Army commander general and defense Minister until May 1989, was riddled with bullets by three young individuals as he was getting out of his car in an open parking lot in a commercial center in the residential neighborhood of San Isidro . Lopez Albujar , 63, was driving his own car without an escort . He was shot eight times in the chest . The former Minister was rushed to the Air Force hospital where he died."
11,DEV-MUC3-0012,LIMA,1990-01-09,"Here is an official defense Ministry communique : 1 . At 0945 this morning, a group of subversives conducted an armed terrorist attack against former defense Minister Divison general Enrique Lopez Albujar, retired . 2 . The victim was taken to the Air Force hospital where he Unfortunately passed away . 3 . The authorities are investigating the attack, and they are conducting the appropriate operations to capture the criminals . Lima , 9 January 1990 . Defense Ministry communications office."
12,DEV-MUC3-0013,SAN SALVADOR,1990-01-09,"The Catholic Church has expressed satisfaction with the investigations in the case of the murdered Jesuits and is encouraging the government to continue to search for the Perpetrators of this crime . Monsignor Gregorio Rosa Chavez today stated that the Catholic Church is pleased with the progress of the investigations regarding the murder of the Jesuit priests . He said that if the soldiers involved in the killing are punished, the government will not only earn International prestige, but will lay the groundwork to consolidate the administration of justice in El Salvador . Rosa Chavez said that if the killing is solved, the period of impunity that has tarnished the judicial system and covered up a number of crimes to which justice has not been applied will end . It seems that the President should be recognized for having had the courage to keep his promise to conduct a thorough investigation . We understand that he has not yet revealed the details of this crime but that he will do so soon . However, I want to say something that has not been said: the church is not interested in learning who the murderers are just for the truth to come out . the church wants this punishment to mean that impunity has ended in El Salvador; that the poor will feel certain that justice will prevail for them; that so many crimes that have been forgotten will be solved little by little; but mainly, that from now on, crimes will no longer go unsolved . Msgr Rosa Chavez added that the tone of verbal violence must be lowered since this only results in a useless confrontation and promotes a polarization of the conflict, as well as hinders any effort to apply justice . He said that the verbal war is as harmful as irrational violence . He said that irresponsible charges and accusations continue in the country, and they do not help strengthen the peace process . It is important to overcome verbal violence . This means that a calm climate, a climate that is as impartial as possible, must be sought to discuss issues . We recall that last year, many violent statements were made . Many harsh expressions were uttered . too many heated statements printed in some newspapers . The language used is too harsh . I think that to obtain justice, we need a calmer climate . He added that a climate of serenity and respect would facilitate the right conditions for a dialogue that would guarantee mechanisms to reconcile our society . He urged the government and the judicial authorities to continue making progress in the review of the judicial system to reorganize it in a way that will allow the honest Adminstration of justice to do away with impunity."
13,DEV-MUC3-0014,SAN SALVADOR,1990-01-10,"A government spokesman has announced that within the next 72 hours the Salvadoran government will disclose the names of the individuals implicated in the murder of six Jesuits, if the investigations are not``hindered .""in a brief statement to the press, Mauricio Sandoval said that Salvadoran President Alfredo Cristiani will, within the period stated, announce``the names of the individuals""who participated in the multiple crime perpetrated on 16 November at the central American University in San Salvador . Cristiani announced on Sunday that``members of the armed forces""participated in the crime, and that his government will bring those individuals to justice in El Salvador,``regardless of whom they may be .""Sandoval pointed out that``more than seven people were involved in the murder, and two perpetrated it .""he added that two different groups acted, one that murdered the clergymen and another that murdered two maids, according to preliminary results issued by the crime Commission in charge of solving the case .``There was no torture or Mistreatment, but words were exchanged""between the murderers and victims, the spokesman said, adding that five of the murdered Jesuits had received``finishing shots ,""according to Autopsies carried out by Salvadoran Forensic doctors . According to testimony the Commission gathered from 115 members of the Army and 103 civilians, the murder took place between 0200 and 0300, and there were``explosions, machine-gun blasts, and shots ,""Sandoval said . The spokesman added that 2 officers and 45 soldiers have been``confined in various headquarters pending investigation .""at least 230 cartridges of various caliber, including some for Soviet made Ak-47's, M-79 Antitank weapons, and M-67 grenades, were found at the site of the murder, the official said."
14,DEV-MUC3-0015,CLANDESTINE,1990-01-10,"On 10 January at 1030, on the 10th anniversary of radio Venceremos, an Fmln unit commemorated this occasion by Ambushing a military vehicle transporting national Guardsmen from Sesori to San Miguel . The ambush took place at El Botijon, in San Sebastian Canton, Sesori, and was carried out using explosives . a few minutes after the fighting began our troops gained control of the situation . attention, your attention: the military vehicle was destroyed during the ambush and five National Guard soldiers were killed, including a Sergeant who was in charge of the National Guard troops . During this successful ambush in Sesori, we seized from the enemy--the repressive National Guard--three G3-A3 rifles, three sets of military, over 1,000 bullets for G3-A3 rifles, boots, vests, and other military materiel . Two G3-A3 rifles and a Prc-77 military communications radio were destroyed at the site of the ambush . our people withdrew with no problems."
15,DEV-MUC3-0016,BUENOS AIRES,1990-01-10,"A Ucr Buenos Aires province committee spokesman today reported that a Ucr district headquarters in Buenos Aires province was``completely destroyed by a bomb explosion .""the destroyed Ucr headquarters is in the Moreno District of Buenos Aires . The spokesman added that no one was injured and that Leopoldo Moreau, the Ucr Buenos Aires province leader, has travelled to Moreno . It is expected that Ucr Buenos Aires province board will meet and that they will ask the provincial government and the Interior Ministry to investigate the incident."
16,DEV-MUC3-0017,SANTIAGO,1990-01-10,"Police are carrying out intensive operations in the town of Molina in the seventh region in search of a gang of alleged extremists who could be linked to a recently discovered arsenal . It has been reported that Carabineros in Molina raided the House of 25-year-old worker Mario Munoz Pardo, where they found a FAL rifle, ammunition clips for various weapons, Detonators, and material for making explosives . It should be recalled that a group of armed individuals wearing ski masks robbed a businessman on a rural road near Molina on 7 January . The businessman, enrique Ormazabal Ormazabal, tried to resist; the men shot him and left him seriously wounded . He was later hospitalized in Curico . Carabineros carried out several operations, including the raid on Munoz' home . The police are continuing to patrol the area in search of the alleged terrorist command."
17,DEV-MUC3-0018,SAN SALVADOR,1990-01-10,"Official sources have reported that several guerrilla attacks and heavy fighting took place the evening of 9 January and this morning throughout the country, and as a result, three soldiers were killed and three others injured . alleged guerrilla urban Commandos launched two Highpower bombs against a car dealership in downtown San Salvador this morning . a police report said that the attack set the building on fire, but did not result in any casualties although economic losses are heavy . During the evening of 9 January, guerrilla urban Commandos bombed two electricity facilities in different places in San Salvador, which caused power outages in some areas of the capital . Meanwhile, the armed forces press committee reported today that three Army soldiers were killed recently in clashes against members of the Farabundo Marti National liberation front in different parts of the central and Eastern regions of the country . The war bulletin by Coprefa stated that the clashes, in which three members of the general Juan Ramon Belloso Battalion were injured, took place in San Jose Guayabal, in the central Cuscatlan Department, and in Santa Elena in the Eastern Usulutan Department."
18,DEV-MUC3-0019,GUATEMALA CITY,1989-01-10,"Gary Elliot Kent Jr, a U.S. citizen being held in prison while awaiting trial on Drug-Trafficking charges, has been stabbed to death in the Pavon prison camp , 18 km southeast of this capital . Kent Jr, and another person whose name and nationality the police have not revealed, were arrested in July 1989 along the Southern coast of Guatemala when the light plane in which the two were traveling had to make an emergency landing . According to the investigations that followed, the plane was transporting cocaine from Colombia to the United States . official sources have reported that Kent Jr was unexpectedly attacked by three other Pavon prison inmates wielding knives . prison guards captured the attackers but did not report their names . prison system director Leonel Franco stated today that the American had not been sentenced and that his case was being processed by a court of justice . On 28 September, the U.S. Embassy in Guatemala had requested the Extradition of Kent Jr for his involvement in Drug-Trafficking activities and because of his possible links with the Medellin cartel."
19,DEV-MUC3-0020,CLANDESTINE,1990-01-11,"Regarding the Jesuits' case, the Fmln States that : 1 . The Fmln and several sectors, including young armed forces officers, were right in pointing to the Army as being responsible for this horrible crime . The responsibility of the armed institution for this case and the cases involving Fenastras, Monsignor Romero, the nuns, and the U.S. agrarian experts, as well as for the bombings in the cities and Massacres in the rural sector, show that we were right when we mentioned in our last peace proposal the need to clean up the Army and reform the judicial system . 2 . to advance in the country's democratization, it is not enough to solve this case . The other cases need to be solved and those guilty for them should be punished . The establishment of responsibilities cannot remain at the level of officers and troops who only carried out orders . most important is to establish responsibility among Higher-Ranking officers because a decision of this sort could not be beyond the responsibility of the top command . 3 . It is also necessary to comply with the Esquipulas II agreements concerning democratization; reforming the judicial system; lifting the state of emergency; reestablishing freedom of expression, mobilization, and organization; releasing the more than 3,000 political prisoners; and stopping the repression against the church and other sectors . 4 . The announcement by Cristiani is an effort to resolve complicated discussions on U.S. aid for El Salvador and to continue to benefit from this aid to maintain the war . It would be a mistake to increase aid to the Salvadoran Army because of this announcement or because the case may be resolved . Such aid would leave open the possibility of seeing a case like that of the Jesuit priests happening again . The best way to contribute to a negotiated solution is to cease aid . We appeal to the U.S. Congress to make this decision . If this is done, the Fmln would commit itself to making efforts to reach an immediate ceasefire . 5 . favorable conditions for negotiations depend on Justice-Making progress . If the Army is thoroughly purged because of this case, peace could be reached earlier . 6 . to contribute toward a prompt peace, we will ask the office of the UN Secretary General to Mediate . We urge the government to jointly meet with us and with Mr Javier Perez de Cuellar within the next 30 days to renew the Dialogue-Negotiation process . 7 . The Fmln will be watching how the situation develops . It URGES national and international forces to exert pressure so that the investigation process does not end with a declaration of intention or with statements blaming Low-Ranking soldiers to protect those who are most responsible . This would push away the Possibiltiy of a political solution to the Salvadoran conflict . Fmln general command: commanders Salvador Sanchez, Shafick Jorge Handal, Eduardo Sancho, Joaquin Villalobos, and Francisco Jovel."
20,DEV-MUC3-0021,BOGOTA,1990-01-11,"According to the military intelligence services, the Farc launched a new offensive to recover the region of middle Magdalena that was lost to Gonzalo Rodriguez Gacha and his men 5 years ago . This is the reason for fierce fighting there between the Army and several Farc fronts during the first few days of this year . heavily armed and strengthened these fronts are trying to militarily take over areas that Rodriguez Gacha's deputies have been vacating because of the crisis created in their organization by the death of El Mejicano . The authorities believe that the return to the strategy of using kidnappings as a means to finance itself is also part of this new offensive that seems to be enjoying the support of other guerrilla groups such as the Epl . Meanwhile, in La Uribe the Farc general Secretariat has submitted another peace proposal to President Barco . The guerrilla group States that it is willing to establish a new political party called Bolivarian reunion of the people if the government calls a Plesbicite to establish a national constituent assembly . The proposal was received on 9 January directly from the hands of Farc leaders by members of the Presidential advisory board for peace issues . The government must assess the proposal it has received, as well as Farc's subversive activities, to determine whether it should resume talks with this organization . for the time being, members of the Advisory board will travel to Santo Domingo this weekend to continue studying with the M-19 the possibilities of incorporating it into political life following the collapse of the special peace district issue in Congress."
21,DEV-MUC3-0022,ROME ,1990-01-11,"The Farabundo Marti National liberation front has described the arrest of five soldiers accused of committing the massacre as``a manipulated cover operation .""basically, Cristiani is alleged to have decided to punish a number of Low-Ranking officers to close the case as quickly as possible and to end International pressures . What is your opinion in this regard? the fact that President Cristiani acknowledges that members of the Army were responsible for the massacre is a first step and definitely a good thing, but it is entirely insufficient unless the subsequent steps are also taken . First, to identify who the responsible parties were: This is the first important point, because nobody can feel satisfied if only Low-Ranking officers are identified . such an act can only have been ordered by High-Ranking officers . We must not forget the murder of Monsignor Romero, for which there were no sentences and no trials . However, the armed forces high command immediately denied involvement in the operation, stating that it was an isolated action``divorced from any institutional policy .""I believe this is entirely wrong: the murder of the Jesuit fathers cannot be considered an isolated action . over 7,000 people have died in El Salvador during 10 years of civil war, and 90 percent of them were civilians . political assassination by the government forces is a constant practice . Furthermore, torture is regularly practised in El Salvador . The Army high command cannot fail to know this . they cannot claim to be innocent, because they have the greatest responsibilities for human rights violations . Yet last month the summit of central American heads of state in San Jose ended with a success for President Cristiani, who secured an explicit condemnation of the offensive launched by the guerrillas in November, whereas no specific charges were leveled at the government for human rights violations . There is a positive factor that should be borne in mind, namely, the call from the five Presidents for a resumption of the dialogue in El Salvador and the appeal to the UN Secretary General to carry out mediation to this end . But in the summit's final document, it is the Fmln and the Nicaraguan Contras who pay the price for the agreement among the Presidents: these are diplomatic games that do not facilitate the restoration of peace in Central America . What paths can be taken now to advance the negotiations? negotiations are becoming increasingly necessary . The guerrilla offensive shows that the Fmln is a strong military force, but also that a revolutionary attitude does not exist among the masses . It also shows that the government army, after 10 years of U.S. training, is an Army whose military stance is defensive, not offensive while this all shows that there can only be a negotiated solution to the crisis, it is also true that precisely following the guerrilla offensive the Army stiffened its stance against negotiations . I believe that sooner or later common sense will prevail and it will sit down at the negotiating table . at the end of November the U.S. Secretary of state's assistant for Latin America spoke officially for the first time about the need for negotiations to resolve the crisis in El Salvador: This is an important sign of a changing situation."
22,DEV-MUC3-0023,LIMA,1990-01-11,"The Mrta today distributed leaflets claiming responsibility for the murder of former defense Minister Enrique Lopez Albujar . General Osvaldo Diaz Salvador, chief of the 7th Subregion of the national police, has confirmed the existence of the leaflets, and added that the murder case is still being investigated . He said that among the thousands of Detainees there are 16 suspects who are believed to have participated in the murder of the outstanding general . Well, there are two operations . First, the dragnet operation, in which people with the characteristics established by witnesses are arrested, and second, there is a more specific operation being conducted by the specialized units . is there any information yet regarding the capture of the murderers of the former defense Minister? these operations seek to clear up both a crime that has shocked the nation and also the killing of two Patrolmen who were murdered in cold blood the day before the general was murdered . do the police have Identikits of the murderers? we have received some Identikits of people who could have participated in the attack from the specialized units of the technical police . based on these Identikits the police will be more specific and selective . how many Identikits do you have so far? so far we have received three Identikits . The murder is attributed to Mrta and not to the shining path . What news do the have on this? I believe the intelligence services will have the final word on this . is it true that the Mrta has claimed responsibility for the murder? well, we all know that some leaflets have appeared today inside a newspaper that claims to be the mouthpiece on this matter, but I do not think this is final."
